"Event","FrameOffset","Value","SourceCategory","SourceReference"
"000335","0x07F","03","recorder RX","RX 01 04 payload 0x7A"
"000335","0x080","02","recorder RX","RX 01 04 payload 0x7B"
"000335","0x081","00","recorder RX","RX 01 04 payload 0x7C"
"000335","0x082","00","recorder RX","RX 01 04 payload 0x7D"
"000335","0x083","00","recorder RX","RX 01 04 payload 0x7E"
"000335","0x084","00","recorder RX","RX 01 04 payload 0x7F"
"000335","0x085","00","recorder RX","RX 01 04 payload 0x80"
"000335","0x086","00","recorder RX","RX 01 04 payload 0x81"
"000335","0x087","03","recorder RX","RX 01 04 payload 0x82"
"000335","0x088","02","recorder RX","RX 01 04 payload 0x83"
"000335","0x089","00","recorder RX","RX 01 04 payload 0x84"
"000335","0x08A","00","recorder RX","RX 01 04 payload 0x85"
"000335","0x08B","00","recorder RX","RX 01 04 payload 0x86"
"000335","0x08C","00","recorder RX","RX 01 04 payload 0x87"
"000335","0x08D","00","recorder RX","RX 01 04 payload 0x88"
"000335","0x08E","00","recorder RX","RX 01 04 payload 0x89"
"000335","0x08F","03","recorder RX","RX 01 04 payload 0x8A"
"000335","0x090","02","recorder RX","RX 01 04 payload 0x8B"
"000335","0x091","00","recorder RX","RX 01 04 payload 0x8C"
"000335","0x092","00","recorder RX","RX 01 04 payload 0x8D"
"000335","0x093","00","recorder RX","RX 01 04 payload 0x8E"
"000335","0x094","00","recorder RX","RX 01 04 payload 0x8F"
